Tool Name,Category,Description,Tags,URL
Genei,Research Summarizer,Summarizes web pages and PDFs for faster research.,"Summary, Reading, Research",https://www.genei.io
Readwise Reader,Reading Assistant,"All-in-one AI reading tool for web, PDF, and newsletters.","Reading, Highlighting, Summarizing",https://readwise.io/read
Bearly AI,Reading & Writing,"Access AI anywhere: summarize, read, write in one click.","Reader, Writer, Assistant",https://bearly.ai
Talk to Books,Semantic Search,Google AI experiment to explore books using AI.,"Books, Search, Google",https://books.google.com/talktobooks
SciSpace,Academic Assistant,AI to explain scientific papers in simple language.,"Research, Study, Explain",https://scispace.com
Explainpaper,Paper Simplifier,Upload academic papers and ask questions about them.,"Research, Simplify, Papers",https://explainpaper.com
PowerMode AI,Startup Ideation,Generate and pitch startup ideas using AI.,"Ideation, Startups, Pitch",https://powermodeai.com
Decktopus AI,AI Presentations,Auto-generate full business presentations with AI.,"Presentations, Business, Pitch",https://www.decktopus.com
Magical AI,Automation Assistant,AI text expander and meeting productivity tool.,"Text Expansion, Workflow",https://www.getmagical.com
AI Dungeon,AI Gaming,Create interactive stories and RPGs using AI.,"Gaming, Storytelling, Fun",https://play.aidungeon.io
Charisma,Interactive Stories,AI tool to create character-driven interactive stories.,"Narrative, Stories, Games",https://charisma.ai
InferKit,Text Generator,"Generate longer, custom-formatted text content with AI.","Writing, Creative, API",https://inferkit.com
Sudowrite Story Engine,Novel Writing,Structured AI help for writing long stories and novels.,"Fiction, Book, Writer",https://www.sudowrite.com/story-engine
TextSynth,Language Models,Access open language models via easy API.,"LLM, API, Text",https://textsynth.com
Janitor AI,Chat Roleplay,Chat with custom characters in a roleplay setup.,"Chat, Roleplay, Fun",https://janitorai.com
AI Roguelite,Game AI,Procedurally generated roguelite using AI Dungeon-style input.,"Gaming, Roguelike, Fun",https://store.steampowered.com/app/2158860
Writely,Online Writing,AI-powered text editor that enhances clarity and tone.,"Writing, Editor, Grammar",https://writelyai.com
Editby,LinkedIn Assistant,AI tool to generate LinkedIn posts from your content.,"Social Media, LinkedIn, Writing",https://editby.ai
Brandmark,Logo Design,Generate logo and brand assets instantly using AI.,"Design, Branding, Logo",https://brandmark.io
Looka,Logo Maker,Create your business logo and brand guide with AI.,"Branding, Logo, Business",https://looka.com
Stockimg AI,Image Generator,"Generate stock images, book covers, and wallpapers.","Stock, Art, Design",https://stockimg.ai
Designs.ai,Creative Suite,"All-in-one AI tool for video, logo, voiceover, and banners.","Creative, Multimedia, Brand",https://designs.ai
Illustroke,SVG Generator,Create vector illustrations from text prompts.,"SVG, Icons, Design",https://illustroke.com
Galactica,Science AI,Meta's AI trained to assist with scientific knowledge.,"Science, LLM, Meta",https://www.meta.com/ai/galactica
ChromaDB,AI Database,Open-source vector database for LLM-powered apps.,"Database, AI Infra, Vector",https://www.trychroma.com
Valyr,AI Legal Assistant,Legal document generation and review assistant.,"Law, Contracts, Review",https://valyr.ai
Spellbook,AI for Lawyers,GPT-powered contract assistant built for legal professionals.,"Contracts, LegalTech, GPT",https://www.spellbook.legal
DocuPilot,Form Automation,Automate document generation from online forms.,"Automation, Forms, PDF",https://docupilot.app
Casetext,Legal Research,AI-powered search and summarization for legal cases.,"Law, Research, Case Law",https://casetext.com
DoNotPay,Legal Automation,"AI lawyer for refund requests, legal letters, and more.","Consumer Rights, Law",https://donotpay.com
Harvey AI,Legal LLM,AI platform for professional legal work using GPT.,"Law, GPT, LegalTech",https://www.harvey.ai
AutoWrite App,Content Generator,Generate SEO-friendly long-form articles with AI.,"Blog, SEO, Writing",https://autowrite.app
Unbounce Smart Copy,Ad Copy,Create landing page and ad copy with AI.,"Marketing, Ads, Landing Pages",https://unbounce.com/smart-copy/
HelloScribe,PR Writing,"AI assistant for PR, communication, and journalism.","Press Release, Writing, Communication",https://www.helloscribe.ai
Noty.ai,Meeting Summary,Transcribe and summarize Google Meet calls in real-time.,"Meetings, Notes, Gmeet",https://noty.ai
Cleanup AI,Image Editing,Advanced AI image cleaner for object and watermark removal.,"Image, Cleanup, Design",https://cleanup.pictures
Gamma,Presentation Tool,Create beautiful slides and docs with AI.,"Slides, Docs, AI Generator",https://gamma.app
Voicemod,Voice Changer,Real-time AI voice changer and soundboard.,"Audio, Voice, Entertainment",https://www.voicemod.net
Scribbr,Citation Generator,AI-powered citation and plagiarism checker.,"Academic, Writing, Citation",https://www.scribbr.com
Midjourney Prompt Helper,Prompt Tool,Generate structured prompts for Midjourney.,"Prompt, Image, Art",https://prompt.noonshot.com
TinyWow,Utility Tools,"Free tools powered by AI for PDF, video, and image editing.","Utility, Free, AI Tools",https://tinywow.com
Claid.ai,Image Enhancer,AI photo enhancer for ecommerce and product images.,"Ecommerce, Image, Enhancement",https://claid.ai
Mokker,Product Photos,Generate professional product photos with AI backgrounds.,"Product, Ecommerce, AI",https://mokker.ai
Rocket AI,Fashion AI,AI for fashion image generation and editing.,"Fashion, Style, AI",https://rocketai.io
Ebsynth,Video Style Transfer,Turn a painted keyframe into an animated sequence.,"Art, Animation, Transfer",https://ebsynth.com
Postwise,Twitter Automation,Write and schedule AI-generated tweets.,"Social Media, Twitter, Automation",https://postwise.ai
Supercreator,Shorts Creation,Create short-form video content using AI assistance.,"YouTube Shorts, TikTok, Video",https://supercreator.ai
Lalal.ai,Audio Splitter,Extract vocals and instruments from audio using AI.,"Music, Audio, Tools",https://www.lalal.ai
Dubverse,AI Dubbing,Dub your videos into multiple languages with AI voices.,"Voice, Video, Translate",https://dubverse.ai
CopyMonkey,Amazon Listing,AI for generating SEO-optimized Amazon listings.,"Ecommerce, SEO, Amazon",https://copymonkey.ai
Ocoya,Social Media Content,Automate content creation and scheduling with AI.,"Social Media, Content, AI",https://ocoya.com
BHuman,Video Personalization,Create AI personalized videos at scale.,"Sales, Outreach, Personalization",https://bhuman.ai
ContentBot,Marketing Copy,"Generate landing pages, blog posts, and more with AI.","Writing, Copy, Marketing",https://contentbot.ai
Neural.love,Art Generator,"Generate AI art, portraits, and more.","Portrait, Image, AI Art",https://neural.love
PromptBase,Prompt Marketplace,Buy and sell quality prompts for various AI models.,"Prompt, Marketplace, ChatGPT",https://promptbase.com
Prompt Hunt,Prompt Templates,Explore prompt templates for image and text generation.,"Prompting, Templates, UI",https://prompthunt.com
Jounce AI,Marketing Assistant,"AI writing assistant for ad copy, blogs, and emails.","Marketing, Copy, AI",https://jounce.ai
Quicklines,Cold Email AI,Generates personalized opening lines for cold outreach.,"Sales, Emails, Lead Gen",https://quicklines.ai
InboxPro,Email Productivity,AI-based Gmail productivity suite with smart replies.,"Gmail, Replies, Productivity",https://inboxpro.io
Tiipe,Ecommerce Content,Generate ecommerce product descriptions at scale.,"Ecommerce, Content, Automation",https://tii.pe
HelloAI,Learning AI,Learn ChatGPT and AI tools easily with guided help.,"Education, Learning, ChatGPT",https://helloai.ai
AI Careers,Job Board,Find AI-related remote and full-time jobs.,"Jobs, AI Career, Hiring",https://www.aicareers.io
VoicePen,Voice to Blog,Convert podcasts and audio into blog posts using AI.,"Audio, Blog, Repurpose",https://voicepen.ai
Podcastle,Podcast Editor,"Create, edit, and enhance podcasts with AI.","Podcast, Audio, Editing",https://podcastle.ai
ListGPT,AI Directory,Discover new AI tools through curated lists.,"Directory, Collection, Tools",https://www.listgpt.ai
Koolio.ai,Podcast Editing,Collaborative audio editing for creators.,"Audio, Editing, AI",https://koolio.ai
Captions AI,Video Subtitles,Auto-subtitle and edit videos easily with AI.,"Video, Subtitles, Creator",https://captions.ai
PlayHT,Voice Generator,High-quality text-to-voice conversion with realistic AI voices.,"TTS, Audio, Realistic",https://play.ht
Speechify,Text to Speech,Read documents aloud using human-like voices.,"TTS, Productivity, Listening",https://speechify.com
Synthesys,Voice & Video AI,Create AI voiceovers and spokesperson videos.,"TTS, Video, Presenter",https://synthesys.io
Writeseed,Content Writer,Create high-converting marketing copy with AI.,"Marketing, SEO, Blog",https://writeseed.com
INK,SEO Assistant,Write and optimize content for search engines.,"SEO, Writing, Optimization",https://inkforall.com
MarketMuse,Content Strategy,AI-powered content optimization and keyword planning.,"SEO, Strategy, Blog",https://www.marketmuse.com
WriterZen,Keyword Tool,"Discover topics, plan content and cluster keywords.","SEO, Keywords, Planning",https://writerzen.net
Surfer SEO,Content Optimizer,AI tool for optimizing content for Google's SERP.,"SEO, Ranking, Content",https://surferseo.com
Frase.io,Content Assistant,Create content that ranks with research and AI writing.,"Content, SEO, Research",https://www.frase.io
Qlip,Video Clipper,AI that finds highlights and creates video snippets.,"Clips, YouTube, Repurpose",https://qlip.ai
VideoKen,Video Indexing,AI-based platform for interactive video navigation.,"Video, Indexing, Lecture",https://videoken.com
Wisecut,Auto Video Editor,Edit videos with automatic voice recognition and subtitles.,"Voice, Edit, Subtitle",https://www.wisecut.video
Zubtitle,Social Video Tool,Auto add captions and headlines to your videos.,"Social Media, Video, Subtitle",https://zubtitle.com
GliaStudio,News Video Creator,Generate news-style videos using text and AI anchors.,"News, AI Anchor, Video",https://gliastudio.com
Veed Script,Script Editor,AI-assisted script writing and teleprompter tool.,"Video, Script, Teleprompter",https://www.vidyo.ai
Nova AI Editor,Video AI,Upload and edit videos automatically with AI subtitles and cuts.,"Video Editing, Auto-Cut",https://www.nova-ai.co
Kamua,Auto Crop Tool,AI cropping and resizing for social video formats.,"Cropping, Video, Social",https://kamua.com
